Vote,Beef & Ale,Bourbon Waffle,Newton Two Ways,PEMDAS Quiche,Pepperoni Hot Honey,Tahini Chocolate,Tangelo Lime
Ballot #1,1,2,NA,3,NA,NA,NA
Ballot #2,1,2,3,NA,NA,NA,NA
Ballot #3,1,3,NA,2,NA,NA,NA
Ballot #4,NA,1,NA,3,NA,NA,2
Ballot #5,2,NA,NA,1,NA,NA,3
Ballot #6,NA,2,NA,1,NA,NA,3
Ballot #7,1,2,NA,NA,NA,NA,3
